employee_id,first_name,last_name,department_id,job_role,job_level,hire_date,gender,age,marital_status,education_level,distance_from_home,business_travel,manager_id,current_status
52,Chloe,Reyes,1,Sales Executive,2,2020-05-13,Female,33,Married,Bachelor,1,Travel_Frequently,862,Active
53,Viktor,Lombardi,2,QA Engineer,1,2024-05-17,Male,35,Divorced,College,4,Travel_Rarely,1250,Active
54,Nadia,Pashkov,2,QA Engineer,1,2024-08-12,Female,27,Divorced,Master,2,Travel_Rarely,1523,Active
55,Marcus,Rossi,2,QA Engineer,1,2023-08-08,Male,26,Single,Bachelor,25,Travel_Rarely,661,Terminated
56,Ethan,Steiner,1,Sales Executive,3,2016-06-18,Male,27,Single,Bachelor,8,Travel_Frequently,1167,Active
57,Peter,Navarro,2,QA Engineer,2,2013-04-15,Female,30,Single,College,1,Travel_Frequently,1608,Active
58,Isabel,Hassan,2,Engineering Director,5,2003-05-05,Female,41,Married,Bachelor,12,Travel_Rarely,1770,Terminated
60,Isabel,Halvorsen,1,Sales Executive,2,2016-04-19,Male,34,Single,Master,23,Non-Travel,862,Active
61,Tariq,Quintero,2,Software Engineer,1,2024-02-10,Male,37,Married,College,19,Travel_Rarely,1837,Active
62,Sanne,Rossi,1,Sales Executive,2,2016-01-23,Male,46,Single,Master,5,Travel_Frequently,1975,Active
63,Diego,Bergman,2,QA Engineer,1,2024-10-13,Male,35,Married,Below College,8,Travel_Rarely,1250,Active
64,Nikolai,Novak,2,QA Engineer,3,2023-02-16,Male,48,Single,College,1,Travel_Rarely,1061,Terminated
65,Viktor,Kaur,2,QA Engineer,1,2022-10-12,Male,28,Single,Master,5,Travel_Rarely,575,Terminated
68,Tariq,Marchetti,1,Sales Executive,2,2021-10-04,Female,44,Divorced,Doctor,1,Travel_Rarely,1975,Active
70,Yuki,Whitfield,6,Support Representative,3,2021-08-30,Male,35,Married,College,11,Non-Travel,431,Active
72,Samir,Castellanos,1,Sales Executive,2,2023-12-09,Female,26,Married,Bachelor,23,Travel_Rarely,2055,Active
73,Yuki,Mbeki,2,Engineering Director,3,2010-04-13,Female,33,Single,College,1,Travel_Frequently,638,Active
74,Tobias,Simonsen,1,Sales Executive,3,2016-09-04,Male,35,Married,Doctor,18,Travel_Frequently,1863,Active
75,Tariq,Eriksen,2,QA Engineer,1,2023-11-18,Female,35,Married,Master,23,Travel_Rarely,1250,Active
76,Ethan,Lindqvist,2,QA Engineer,2,2018-11-08,Male,31,Divorced,Master,7,Travel_Rarely,1789,Active
77,Anika,Vandenberg,5,Operations Director,2,2018-09-08,Male,37,Divorced,Master,1,Travel_Rarely,601,Active
78,Claire,Kaur,5,Operations Director,2,2016-06-21,Male,32,Married,Bachelor,1,Travel_Rarely,1283,Active
79,Fatima,Hassan,2,QA Engineer,2,2015-09-01,Female,38,Single,Doctor,29,Travel_Frequently,1867,Active
80,Mira,Silva,2,Engineering Director,5,1998-02-21,Female,50,Divorced,College,7,Travel_Rarely,825,Active
81,Sofia,Cardoso,1,Sales Executive,3,2004-05-19,Female,59,Single,Bachelor,25,Travel_Rarely,1372,Active
83,Mei,Vandenberg,6,Support Representative,3,2008-10-27,Female,36,Divorced,Bachelor,8,Travel_Rarely,431,Active
84,Aisha,Navarro,4,Finance Manager,4,2020-11-13,Female,55,Divorced,Bachelor,8,Travel_Rarely,1338,Active
85,Idris,Mbeki,5,Operations Director,2,2019-01-25,Male,36,Single,Bachelor,11,Travel_Frequently,1026,Active
86,Oscar,Quintero,2,Software Engineer,3,2024-06-25,Male,45,Divorced,Bachelor,7,Travel_Rarely,1061,Active
88,Grace,Mbeki,2,Software Engineer,1,2022-07-11,Male,35,Married,Bachelor,1,Travel_Frequently,1250,Active
90,Lena,Ortega,2,Software Engineer,1,2024-01-02,Male,36,Married,Bachelor,9,Travel_Rarely,1424,Terminated
91,Nadia,Mbeki,1,Sales Executive,2,2021-04-24,Female,59,Single,Below College,1,Travel_Frequently,1167,Active
94,Nina,Osei,2,Software Engineer,1,2020-09-30,Male,29,Married,Bachelor,2,Travel_Rarely,1539,Active
95,Leila,Tanaka,2,Software Engineer,1,2024-08-02,Male,31,Single,Master,1,Travel_Rarely,997,Active
96,Isabel,Bergman,2,Software Engineer,2,2015-09-12,Male,32,Married,Bachelor,1,Travel_Rarely,1217,Active
97,Chloe,Novak,2,QA Engineer,1,2024-08-11,Female,36,Married,Bachelor,6,Travel_Rarely,1424,Active
98,Tobias,Eriksen,5,Operations Director,2,2014-05-23,Female,31,Single,Master,8,Travel_Rarely,1283,Active
100,Diego,Grimaldi,1,Sales Executive,2,2010-05-18,Male,35,Single,Master,1,Travel_Rarely,1070,Active
101,Samir,Bakker,2,Engineering Director,3,2025-08-20,Male,45,Married,Master,6,Travel_Rarely,1061,Active
102,Ingrid,Moreau,2,Engineering Director,3,2020-01-28,Male,37,Single,Master,7,Travel_Rarely,396,Active
103,Idris,Nakamura,3,HR Generalist,2,2021-01-06,Male,46,Divorced,College,5,Travel_Rarely,1744,Active
104,Priya,Bakker,2,QA Engineer,2,2015-10-22,Male,30,Married,Below College,1,Travel_Rarely,1608,Active
105,Chloe,Petrov,2,Software Engineer,1,2019-07-26,Male,35,Single,Bachelor,1,Travel_Rarely,1250,Active
106,Aisha,Ibrahim,1,Sales Executive,3,2024-04-06,Male,55,Married,College,1,Travel_Rarely,1372,Active
107,Jonas,Okafor,2,Software Engineer,2,2012-12-21,Female,38,Divorced,Bachelor,6,Non-Travel,1867,Active
110,Daniel,Vandenberg,5,Operations Director,2,2020-02-25,Male,34,Married,College,1,Travel_Rarely,1026,Active
112,Ethan,Bergman,5,Operations Director,3,2019-07-13,Male,56,Single,Bachelor,7,Travel_Rarely,1775,Active
113,Samir,Ramos,1,Sales Representative,1,2025-02-12,Male,23,Divorced,Below College,2,Travel_Rarely,1869,Active
116,Sanne,Silva,2,QA Engineer,1,2021-04-28,Male,51,Married,Master,9,Travel_Rarely,58,Active
117,Diego,Ibrahim,6,Support Representative,2,2014-05-03,Male,30,Married,Bachelor,2,Travel_Rarely,165,Active
118,Anika,Bergman,1,Sales Executive,3,2015-06-15,Male,46,Single,College,9,Travel_Rarely,1138,Terminated
119,Fatima,Novak,6,Support Representative,4,2003-10-27,Male,40,Married,Master,1,Travel_Frequently,1278,Active
120,Bruno,Navarro,1,Sales Executive,2,2015-02-07,Male,51,Single,Master,21,Travel_Rarely,986,Active
121,Tariq,Tanaka,1,Sales Executive,2,2014-07-23,Female,30,Divorced,College,4,Travel_Rarely,1319,Active
124,Sanne,Navarro,6,Support Representative,3,2015-01-30,Male,46,Married,Bachelor,1,Travel_Frequently,1606,Active
125,Divya,Okafor,1,Sales Executive,2,2014-10-30,Male,32,Single,Master,6,Travel_Rarely,1050,Active
126,Chloe,Delacroix,2,Engineering Director,3,2021-12-06,Female,54,Married,Master,2,Travel_Rarely,385,Active
128,Viktor,Mbeki,1,Sales Executive,2,2022-10-03,Female,24,Married,College,3,Travel_Rarely,118,Active
129,Rosa,Nowak,1,Sales Executive,2,2020-05-10,Male,28,Married,Bachelor,4,Non-Travel,174,Active
131,Zara,Mehta,1,Sales Executive,4,1988-05-12,Male,58,Single,Master,10,Travel_Rarely,,Active
132,Bruno,Lombardi,2,QA Engineer,2,2022-11-26,Male,44,Married,Bachelor,23,Non-Travel,1941,Active
133,Samir,Castellanos,3,HR Generalist,1,2022-01-01,Male,37,Divorced,Master,6,Travel_Rarely,1098,Terminated
134,Anika,Haddad,2,Software Engineer,1,2024-05-26,Male,32,Single,Below College,1,Travel_Rarely,1472,Active
137,Chloe,Grimaldi,2,QA Engineer,1,2023-08-09,Female,20,Single,Bachelor,6,Travel_Frequently,612,Terminated
138,Freya,Osei,2,Software Engineer,2,2009-02-28,Female,34,Single,Master,6,Travel_Rarely,1069,Active
139,Oscar,Lombardi,6,Support Representative,2,2024-12-27,Male,37,Divorced,College,2,Non-Travel,119,Active
140,Camila,Osei,4,Finance Manager,5,2022-05-01,Female,59,Married,Master,2,Non-Travel,549,Active
141,Aarav,Jokinen,2,Engineering Director,5,2017-02-04,Female,50,Married,Bachelor,1,Travel_Frequently,825,Active
142,Yuki,Petrov,1,Sales Executive,2,2019-01-27,Male,25,Single,Bachelor,5,Travel_Rarely,2055,Terminated
143,Mei,Fitzgerald,2,Software Engineer,1,2023-08-12,Male,25,Married,Below College,7,Travel_Rarely,1666,Active
144,Divya,Grimaldi,2,QA Engineer,1,2025-06-05,Female,22,Single,Bachelor,15,Travel_Rarely,468,Active
145,Marcus,Bakker,6,Support Representative,3,2012-05-09,Female,51,Single,Master,1,Travel_Frequently,1606,Active
147,Zara,Kowalski,2,QA Engineer,2,2015-03-25,Male,34,Single,Bachelor,7,Travel_Frequently,1069,Terminated
148,Tobias,Kaur,4,Finance Manager,4,2020-01-31,Female,54,Single,Bachelor,26,Non-Travel,374,Active
150,Aisha,Vandenberg,2,QA Engineer,1,2020-04-01,Male,24,Married,Below College,18,Travel_Rarely,1666,Active
151,Priya,Nakamura,2,Software Engineer,2,2024-05-12,Female,34,Divorced,Master,6,Travel_Rarely,1069,Active
152,Viktor,Dubois,1,Sales Executive,3,2020-02-23,Male,37,Single,Bachelor,3,Travel_Rarely,1716,Active
153,Caleb,Ramos,4,Finance Manager,3,2014-09-24,Female,34,Single,Bachelor,5,Travel_Rarely,1973,Active
154,Idris,Castellanos,1,Sales Executive,3,2016-12-15,Female,36,Married,College,11,Travel_Frequently,1716,Active
155,Leila,Lombardi,2,QA Engineer,1,2024-09-01,Female,36,Divorced,College,3,Travel_Rarely,1424,Active
158,Grace,Krishnan,4,Finance Manager,4,2000-02-29,Male,43,Married,College,26,Travel_Frequently,787,Active
159,Nadia,Bergman,2,Software Engineer,1,2015-05-14,Male,30,Divorced,Bachelor,23,Travel_Frequently,1317,Active
160,Fatima,Delacroix,1,Sales Executive,2,2018-03-29,Male,33,Married,College,22,Non-Travel,1050,Active
161,Aisha,Bakker,2,Software Engineer,1,2018-07-22,Female,56,Married,Master,14,Travel_Rarely,1255,Terminated
162,Soren,Pashkov,2,Engineering Director,5,2005-01-10,Male,51,Single,Bachelor,6,Travel_Rarely,825,Active
163,Viktor,Hassan,1,Sales Executive,2,2016-04-08,Male,31,Married,Master,6,Travel_Rarely,1968,Terminated
164,Leila,Ramos,2,Software Engineer,1,2020-08-27,Female,26,Married,Bachelor,6,Travel_Rarely,661,Active
165,Ingrid,Aoki,6,Support Representative,3,1984-05-02,Female,58,Married,Master,23,Travel_Rarely,258,Terminated
167,Nadia,Kaur,1,Sales Representative,1,2024-01-16,Male,19,Single,Below College,22,Travel_Rarely,302,Terminated
169,Tariq,Rossi,2,QA Engineer,1,2023-02-01,Male,22,Married,Below College,2,Travel_Rarely,468,Active
170,Tariq,Andersen,5,Operations Director,2,2010-01-19,Female,49,Married,Master,20,Travel_Rarely,1005,Active
171,Leila,Bakker,2,Software Engineer,1,2022-06-15,Female,43,Single,Bachelor,28,Travel_Frequently,999,Active
174,Grace,Dubois,1,Sales Executive,3,2023-07-08,Female,50,Single,Bachelor,12,Travel_Frequently,1138,Active
175,Caleb,Fitzgerald,1,Sales Executive,2,2022-03-27,Female,31,Married,Bachelor,20,Travel_Rarely,1319,Terminated
176,Sanne,Kowalski,1,Sales Executive,3,2016-11-18,Male,41,Divorced,Below College,9,Travel_Rarely,1716,Active
177,Viktor,Marchetti,3,HR Generalist,1,2017-08-30,Female,26,Married,Below College,25,Travel_Rarely,590,Active
178,Diego,Ibrahim,5,Operations Director,2,2022-03-27,Male,36,Divorced,College,6,Travel_Rarely,1026,Active
179,Aarav,Duarte,5,Operations Director,3,2020-09-17,Male,51,Single,Master,8,Travel_Frequently,867,Terminated
182,Samir,Kowalski,1,Sales Executive,2,2010-07-27,Female,39,Married,Master,4,Travel_Rarely,2056,Active
183,Hugo,Marchetti,1,Sales Executive,2,2023-11-13,Male,25,Married,Bachelor,28,Travel_Rarely,840,Active
184,Aarav,Varga,3,HR Generalist,2,2014-07-02,Male,30,Married,Bachelor,9,Travel_Rarely,1098,Active
190,Hugo,Ramos,2,QA Engineer,1,2018-06-17,Female,32,Single,Bachelor,9,Travel_Rarely,1472,Terminated
192,Hannah,Hassan,2,Software Engineer,1,2019-01-24,Male,45,Single,Bachelor,29,Travel_Rarely,58,Active
193,Grace,Steiner,2,Software Engineer,2,2022-02-16,Female,38,Single,Doctor,3,Travel_Rarely,1867,Active
194,Zara,Larsen,2,Software Engineer,1,2020-10-26,Female,30,Single,Bachelor,18,Travel_Rarely,1317,Active
195,Claire,Silva,1,Sales Executive,2,2017-08-12,Male,32,Divorced,College,9,Travel_Frequently,1050,Active
197,Diego,Bakker,2,Software Engineer,1,2022-07-25,Female,30,Divorced,Bachelor,5,Travel_Rarely,1539,Active
198,Fatima,Jokinen,2,QA Engineer,1,2020-11-14,Male,30,Single,Below College,2,Travel_Rarely,1539,Active
199,Anika,Steiner,4,Finance Manager,4,2018-05-23,Male,41,Divorced,Bachelor,10,Travel_Frequently,1336,Active
200,Nadia,Grimaldi,2,QA Engineer,1,2020-03-07,Male,41,Married,Master,9,Travel_Rarely,1035,Active
201,Yuki,Rossi,2,QA Engineer,1,2024-01-29,Female,19,Single,Below College,3,Travel_Rarely,612,Active
202,Chloe,Marchetti,2,Software Engineer,2,2005-02-04,Female,40,Divorced,Bachelor,26,Travel_Frequently,1263,Active
204,Amara,Osei,1,Sales Executive,3,2015-08-15,Male,35,Married,Doctor,1,Travel_Rarely,1863,Active
205,Leila,Fitzgerald,1,Sales Representative,2,2018-11-10,Male,53,Married,College,6,Travel_Rarely,986,Active
206,Amara,Bergman,2,QA Engineer,2,2008-06-30,Male,45,Divorced,Bachelor,9,Travel_Rarely,1941,Active
207,Tariq,Vandenberg,1,Sales Executive,3,2016-05-05,Female,32,Single,Bachelor,8,Travel_Frequently,1039,Active
208,Rosa,Fitzgerald,5,Operations Director,2,2015-05-25,Male,29,Married,Below College,1,Non-Travel,1360,Active
211,Rosa,Petrov,5,Operations Director,2,2024-02-02,Male,51,Married,Master,7,Travel_Rarely,1005,Active
214,Oscar,Osei,2,Software Engineer,1,2024-10-25,Female,58,Married,Bachelor,9,Travel_Rarely,1608,Active
215,Mei,Andersen,1,Sales Executive,3,2013-05-14,Male,40,Married,Master,4,Travel_Rarely,1716,Active
216,Sanne,Ortega,1,Sales Representative,1,2021-10-16,Female,34,Married,Master,2,Travel_Frequently,244,Active
217,Nadia,Kowalski,2,Software Engineer,1,2023-04-14,Male,22,Married,Below College,19,Travel_Rarely,468,Active
218,Elena,Larsen,2,Software Engineer,1,2023-09-16,Male,27,Divorced,Bachelor,9,Non-Travel,1523,Active
221,Fatima,Mehta,2,Software Engineer,1,2020-09-27,Male,28,Married,Bachelor,21,Travel_Rarely,575,Active
223,Zara,Lombardi,6,Support Representative,3,2020-02-05,Male,57,Divorced,College,24,Travel_Rarely,1606,Active
224,Camila,Haddad,2,Software Engineer,1,2024-05-02,Male,27,Divorced,Bachelor,3,Non-Travel,1523,Active
226,Anika,Whitfield,4,Finance Manager,5,2020-06-19,Female,50,Single,Bachelor,11,Travel_Rarely,140,Active
227,Sanne,Varga,2,Software Engineer,1,2016-02-08,Male,41,Divorced,Bachelor,14,Travel_Rarely,1035,Active
228,Bruno,Ibrahim,1,Sales Executive,3,2015-05-03,Female,30,Married,Bachelor,5,Travel_Rarely,1039,Active
230,Rosa,Grimaldi,1,Sales Executive,2,2017-07-30,Female,38,Single,Master,1,Travel_Rarely,2056,Active
231,Nadia,Whitfield,2,Software Engineer,1,2020-01-13,Male,32,Single,Doctor,6,Travel_Rarely,1472,Active
233,Ingrid,Nakamura,2,Software Engineer,1,2020-09-02,Male,27,Married,Bachelor,17,Travel_Rarely,1523,Active
235,Daniel,Cardoso,1,Sales Representative,1,2024-06-06,Female,19,Single,Below College,1,Travel_Frequently,302,Terminated
238,Viktor,Rossi,2,QA Engineer,1,2017-10-27,Male,36,Single,College,3,Travel_Frequently,1424,Active
239,Mira,Castellanos,2,QA Engineer,2,2013-12-24,Male,30,Divorced,Bachelor,9,Non-Travel,1608,Active
240,Chloe,Jokinen,1,Sales Executive,2,2020-04-01,Female,45,Divorced,College,4,Travel_Rarely,1975,Active
241,Divya,Osei,2,Software Engineer,1,2023-09-05,Female,56,Divorced,Bachelor,8,Travel_Rarely,1255,Active
242,Elena,Aoki,2,Software Engineer,1,2022-03-11,Male,33,Single,Bachelor,2,Travel_Rarely,901,Active
243,Hannah,Haddad,2,QA Engineer,1,2023-03-21,Male,19,Single,Bachelor,2,Travel_Rarely,612,Terminated
244,Divya,Navarro,1,Sales Executive,3,2001-07-19,Female,46,Divorced,College,1,Travel_Rarely,1138,Active
245,Viktor,Castellanos,2,QA Engineer,1,2023-06-13,Female,38,Single,College,9,Travel_Rarely,1128,Active
246,Amara,Ibrahim,2,Software Engineer,1,2021-06-09,Female,31,Married,Below College,12,Travel_Rarely,997,Active
247,Isabel,Reyes,2,Software Engineer,1,2022-10-08,Female,34,Single,College,27,Travel_Rarely,1422,Active
248,Nikolai,Simonsen,1,Sales Representative,1,2020-03-13,Female,41,Single,College,20,Travel_Rarely,118,Terminated
249,Elena,Mehta,2,QA Engineer,1,2022-08-21,Male,50,Married,Bachelor,1,Travel_Rarely,58,Active
250,Yuki,Lombardi,5,Operations Director,2,2021-03-04,Female,53,Divorced,College,13,Travel_Rarely,1005,Active
252,Aarav,Larsen,2,Software Engineer,1,2017-01-07,Female,33,Married,Bachelor,14,Travel_Rarely,901,Active
253,Amara,Jokinen,4,Finance Manager,5,2005-04-14,Female,40,Married,Below College,4,Travel_Rarely,1191,Active
254,Zara,Sharma,2,Engineering Director,5,2001-02-25,Male,55,Single,Master,14,Travel_Rarely,825,Active
256,Idris,Silva,5,Operations Director,2,2015-12-20,Male,34,Married,Below College,2,Travel_Frequently,1026,Active
258,Tobias,Simonsen,6,Support Representative,4,2018-02-01,Female,51,Single,Bachelor,3,Travel_Rarely,762,Active
259,Hugo,Bergman,4,Finance Manager,5,1992-10-28,Male,52,Married,Master,1,Travel_Rarely,140,Active
260,Diego,Bianchi,2,Software Engineer,1,2018-03-02,Female,27,Single,Bachelor,9,Travel_Rarely,1523,Active
261,Elena,Osei,5,Operations Director,2,2023-08-10,Male,35,Married,College,23,Travel_Rarely,1026,Terminated
262,Rosa,Lindqvist,2,Software Engineer,1,2020-06-26,Male,43,Divorced,Bachelor,7,Non-Travel,999,Active
264,Aarav,Hassan,4,Finance Manager,4,2005-08-31,Male,45,Married,College,2,Non-Travel,787,Active
267,Elena,Delacroix,2,Software Engineer,1,2017-09-07,Male,37,Married,Bachelor,21,Travel_Rarely,1837,Active
269,Andre,Andersen,2,QA Engineer,2,2019-09-11,Female,35,Single,Bachelor,2,Travel_Frequently,1069,Active
270,Sofia,Halvorsen,5,Operations Director,2,2020-11-16,Female,42,Divorced,College,21,Non-Travel,2034,Active
271,Diego,Marchetti,5,Operations Director,2,2024-10-21,Male,38,Married,Master,2,Travel_Rarely,601,Active
273,Lena,Novak,5,Operations Director,2,2018-12-28,Male,38,Married,Bachelor,29,Travel_Rarely,601,Active
274,Mira,Ibrahim,5,Operations Director,2,2023-12-24,Male,27,Married,Below College,1,Travel_Frequently,1360,Active
275,Tobias,Pashkov,5,Operations Director,2,2018-09-23,Male,49,Divorced,Master,18,Non-Travel,1005,Active
277,Isabel,Tanaka,2,Software Engineer,1,2020-12-10,Male,34,Divorced,Master,10,Travel_Frequently,1422,Active
281,Aisha,Simonsen,2,QA Engineer,2,2018-05-01,Male,40,Married,College,19,Travel_Rarely,1263,Active
282,Nikolai,Moreau,6,Support Representative,2,2023-12-02,Male,38,Married,Below College,29,Travel_Rarely,119,Terminated
283,Isabel,Quintero,1,Sales Executive,3,2013-06-06,Female,29,Married,Bachelor,27,Travel_Rarely,404,Terminated
284,Lena,Haddad,2,Software Engineer,1,2021-12-12,Male,22,Divorced,Bachelor,5,Travel_Rarely,468,Active
286,Luis,Nakamura,2,QA Engineer,1,2017-12-19,Female,36,Single,Below College,18,Travel_Frequently,1424,Active
287,Samir,Hassan,6,Support Representative,2,2022-02-12,Male,40,Married,Doctor,9,Non-Travel,119,Active
288,Marcus,Marchetti,6,Support Representative,3,2021-07-02,Male,46,Divorced,Master,1,Travel_Rarely,1606,Active
291,Grace,Vandenberg,1,Sales Executive,3,2011-01-07,Male,32,Married,Master,4,Travel_Rarely,1039,Terminated
292,Caleb,Ferreira,5,Operations Director,3,2014-08-09,Male,30,Single,Below College,1,Non-Travel,1367,Active
293,Caleb,Okafor,1,Sales Executive,2,2018-01-18,Female,27,Single,Bachelor,20,Travel_Frequently,174,Active
296,Aarav,Okafor,2,Engineering Director,3,2015-11-24,Male,51,Married,Master,8,Travel_Rarely,385,Active
297,Ingrid,Moreau,2,Software Engineer,1,2019-01-28,Female,30,Single,Bachelor,3,Travel_Rarely,1539,Terminated
298,Nina,Jokinen,4,Finance Manager,3,2024-07-18,Female,41,Single,Bachelor,6,Travel_Rarely,1973,Active
299,Felix,Bakker,1,Sales Executive,2,2018-12-15,Female,30,Single,Master,26,Travel_Frequently,1319,Terminated
300,Rahul,Duarte,2,Software Engineer,1,2019-09-12,Male,29,Single,Bachelor,1,Travel_Rarely,1539,Terminated
302,Diego,Ramos,1,Sales Executive,3,2006-10-11,Female,45,Single,Bachelor,6,Non-Travel,746,Active
303,Mira,Reyes,1,Sales Executive,2,2019-06-01,Female,54,Married,Bachelor,3,Travel_Rarely,986,Active
304,Rosa,Kowalski,2,QA Engineer,2,2012-10-31,Male,36,Single,College,5,Travel_Rarely,447,Active
305,Jonas,Larsen,2,Software Engineer,1,2022-04-23,Female,33,Married,Master,4,Travel_Rarely,901,Active
306,Ethan,Simonsen,2,Engineering Director,3,2015-03-01,Male,37,Divorced,Bachelor,11,Travel_Frequently,396,Active
307,Amara,Jokinen,1,Sales Executive,3,2009-03-03,Male,38,Divorced,Bachelor,3,Travel_Rarely,1716,Active
308,Idris,Dubois,5,Operations Director,2,2020-08-28,Male,31,Married,Master,1,Non-Travel,1283,Active
309,Sanne,Varga,2,Software Engineer,1,2024-03-17,Male,59,Married,Bachelor,3,Travel_Rarely,1608,Active
311,Zara,Moreau,1,Sales Representative,1,2016-06-27,Male,37,Divorced,Master,4,Travel_Frequently,244,Active
312,Aisha,Mbeki,1,Sales Executive,3,2014-09-03,Female,29,Married,Below College,1,Travel_Frequently,1167,Active
314,Samir,Bianchi,1,Sales Executive,3,2015-08-14,Female,35,Single,Bachelor,1,Travel_Frequently,1863,Active
315,Nina,Kowalski,2,Software Engineer,1,2021-05-21,Male,29,Single,Below College,18,Travel_Rarely,1539,Terminated
316,Freya,Grimaldi,2,QA Engineer,1,2023-08-08,Female,52,Single,Bachelor,2,Travel_Rarely,58,Active
319,Sanne,Duarte,4,Finance Manager,5,2003-05-21,Male,42,Married,College,4,Travel_Rarely,1191,Active
321,Priya,Rossi,3,HR Generalist,1,2023-11-22,Male,59,Married,College,6,Travel_Rarely,1098,Active
