employee_id,first_name,last_name,employee_name,department_id,department_name,division,job_role,job_level,business_travel,hire_date,termination_date,current_status,attrition_flag,tenure_years,tenure_cohort,tenure_cohort_sort,gender,age,marital_status,education_level,distance_from_home,manager_id,manager_name,monthly_income,income_pct_rank_in_role,income_quartile_in_role,income_quartile_label,pct_vs_role_average,stock_option_level,salary_hike_pct,latest_review_date,performance_rating,job_satisfaction,environment_satisfaction,work_life_balance,overtime_flag,voluntary_flag
58,Isabel,Hassan,Isabel Hassan,2,Engineering,Technology,Engineering Director,5,Travel_Rarely,2003-05-05,2025-07-29,Terminated,1,22.23,10 yr+,5,Female,41,Married,Bachelor,12,1770.0,Lena Ferreira,19545,0.9241,4,Q4 (highest paid in role),21.9,0,12.0,2025-07-27,3,3,2,3,No,0
64,Nikolai,Novak,Nikolai Novak,2,Engineering,Technology,QA Engineer,3,Travel_Rarely,2023-02-16,2024-11-19,Terminated,1,1.76,1-3 yr,2,Male,48,Single,College,1,1061.0,Claire Sharma,5381,0.9419,4,Q4 (highest paid in role),66.2,0,13.0,2024-11-16,3,3,1,3,Yes,1
65,Viktor,Kaur,Viktor Kaur,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2022-10-12,2025-04-06,Terminated,1,2.48,1-3 yr,2,Male,28,Single,Master,5,575.0,Soren Bergman,3441,0.624,3,Q3,6.3,0,13.0,2025-04-05,3,3,3,2,Yes,1
90,Lena,Ortega,Lena Ortega,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2024-01-02,2025-08-31,Terminated,1,1.66,1-3 yr,2,Male,36,Married,Bachelor,9,1424.0,Rahul Novak,3388,0.6495,3,Q3,4.6,1,17.0,2025-08-25,3,3,4,2,Yes,0
118,Anika,Bergman,Anika Bergman,1,Sales,Go-To-Market,Sales Executive,3,Travel_Rarely,2015-06-15,2025-04-08,Terminated,1,9.82,5-10 yr,4,Male,46,Single,College,9,1138.0,Caleb Quintero,9619,0.8338,4,Q4 (highest paid in role),38.9,0,16.0,2025-04-04,3,4,3,3,No,1
133,Samir,Castellanos,Samir Castellanos,3,HR,Corporate Services,HR Generalist,1,Travel_Rarely,2022-01-01,2025-04-22,Terminated,1,3.3,3-5 yr,3,Male,37,Divorced,Master,6,1098.0,Jonas Novak,2073,0.0392,1,Q1 (lowest paid in role),-51.1,0,22.0,2025-04-11,4,1,3,3,Yes,1
137,Chloe,Grimaldi,Chloe Grimaldi,2,Engineering,Technology,QA Engineer,1,Travel_Frequently,2023-08-09,2025-02-03,Terminated,1,1.49,1-3 yr,2,Female,20,Single,Bachelor,6,612.0,Soren Castellanos,2926,0.5039,3,Q3,-9.6,0,18.0,2025-01-29,3,4,4,3,Yes,1
142,Yuki,Petrov,Yuki Petrov,1,Sales,Go-To-Market,Sales Executive,2,Travel_Rarely,2019-01-27,2025-10-21,Terminated,1,6.73,5-10 yr,4,Male,25,Single,Bachelor,5,2055.0,Oscar Bakker,5744,0.4308,2,Q2,-17.0,0,11.0,2025-10-09,3,3,3,3,Yes,1
147,Zara,Kowalski,Zara Kowalski,2,Engineering,Technology,QA Engineer,2,Travel_Frequently,2015-03-25,2025-03-08,Terminated,1,9.95,5-10 yr,4,Male,34,Single,Bachelor,7,1069.0,Divya Krishnan,6074,0.9806,4,Q4 (highest paid in role),87.6,0,24.0,2025-03-06,4,3,1,3,Yes,0
161,Aisha,Bakker,Aisha Bakker,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2018-07-22,2024-07-20,Terminated,1,6.0,5-10 yr,4,Female,56,Married,Master,14,1255.0,Claire Reyes,4963,0.9038,4,Q4 (highest paid in role),53.2,3,18.0,2024-07-02,3,2,2,3,Yes,1
163,Viktor,Hassan,Viktor Hassan,1,Sales,Go-To-Market,Sales Executive,2,Travel_Rarely,2016-04-08,2024-01-24,Terminated,1,7.79,5-10 yr,4,Male,31,Married,Master,6,1968.0,Andre Ortega,6172,0.4831,2,Q2,-10.9,0,18.0,2024-01-19,3,3,2,2,Yes,1
165,Ingrid,Aoki,Ingrid Aoki,6,Customer Support,Go-To-Market,Support Representative,3,Travel_Rarely,1984-05-02,2024-06-08,Terminated,1,40.1,10 yr+,5,Female,58,Married,Master,23,258.0,Tobias Simonsen,10312,0.8154,4,Q4 (highest paid in role),37.0,1,12.0,2024-05-29,3,4,4,2,No,1
167,Nadia,Kaur,Nadia Kaur,1,Sales,Go-To-Market,Sales Representative,1,Travel_Rarely,2024-01-16,2024-05-04,Terminated,1,0.3,0-1 yr,1,Male,19,Single,Below College,22,302.0,Diego Ramos,1675,0.0854,1,Q1 (lowest paid in role),-36.2,0,19.0,2024-04-27,3,3,4,2,Yes,0
175,Caleb,Fitzgerald,Caleb Fitzgerald,1,Sales,Go-To-Market,Sales Executive,2,Travel_Rarely,2022-03-27,2024-06-25,Terminated,1,2.25,1-3 yr,2,Female,31,Married,Bachelor,20,1319.0,Sofia Castellanos,4559,0.1231,1,Q1 (lowest paid in role),-34.2,1,11.0,2024-06-11,3,3,2,3,Yes,1
179,Aarav,Duarte,Aarav Duarte,5,Operations,Technology,Operations Director,3,Travel_Frequently,2020-09-17,2025-09-11,Terminated,1,4.98,3-5 yr,3,Male,51,Single,Master,8,867.0,Aarav Navarro,10650,0.8819,4,Q4 (highest paid in role),46.0,0,15.0,2025-08-23,3,4,1,3,No,1
190,Hugo,Ramos,Hugo Ramos,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2018-06-17,2024-04-24,Terminated,1,5.85,5-10 yr,4,Female,32,Single,Bachelor,9,1472.0,Divya Lindqvist,4200,0.8256,4,Q4 (highest paid in role),29.7,0,22.0,2024-04-06,4,1,1,4,No,1
235,Daniel,Cardoso,Daniel Cardoso,1,Sales,Go-To-Market,Sales Representative,1,Travel_Frequently,2024-06-06,2024-09-09,Terminated,1,0.26,0-1 yr,1,Female,19,Single,Below College,1,302.0,Diego Ramos,2325,0.3537,2,Q2,-11.5,0,21.0,2024-09-03,4,1,3,4,No,1
243,Hannah,Haddad,Hannah Haddad,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2023-03-21,2024-04-04,Terminated,1,1.04,1-3 yr,2,Male,19,Single,Bachelor,2,612.0,Soren Castellanos,1102,0.0,1,Q1 (lowest paid in role),-66.0,0,22.0,2024-03-20,4,4,2,2,No,1
248,Nikolai,Simonsen,Nikolai Simonsen,1,Sales,Go-To-Market,Sales Representative,1,Travel_Rarely,2020-03-13,2024-10-30,Terminated,1,4.63,3-5 yr,3,Female,41,Single,College,20,118.0,Anika Bergman,3140,0.8537,4,Q4 (highest paid in role),19.6,0,22.0,2024-10-14,4,2,2,2,Yes,1
261,Elena,Osei,Elena Osei,5,Operations,Technology,Operations Director,2,Travel_Rarely,2023-08-10,2025-07-06,Terminated,1,1.91,1-3 yr,2,Male,35,Married,College,23,1026.0,Nadia Mbeki,5916,0.3889,2,Q2,-18.9,0,13.0,2025-06-25,3,3,2,3,Yes,1
282,Nikolai,Moreau,Nikolai Moreau,6,Customer Support,Go-To-Market,Support Representative,2,Travel_Rarely,2023-12-02,2025-02-03,Terminated,1,1.17,1-3 yr,2,Male,38,Married,Below College,29,119.0,Fatima Novak,6673,0.4615,2,Q2,-11.4,0,19.0,2025-01-26,3,1,2,3,Yes,1
283,Isabel,Quintero,Isabel Quintero,1,Sales,Go-To-Market,Sales Executive,3,Travel_Rarely,2013-06-06,2024-04-28,Terminated,1,10.89,10 yr+,5,Female,29,Married,Bachelor,27,404.0,Nadia Kowalski,7639,0.6738,3,Q3,10.3,3,22.0,2024-04-28,4,4,2,2,No,1
291,Grace,Vandenberg,Grace Vandenberg,1,Sales,Go-To-Market,Sales Executive,3,Travel_Rarely,2011-01-07,2025-05-17,Terminated,1,14.36,10 yr+,5,Male,32,Married,Master,4,1039.0,Soren Novak,10400,0.9077,4,Q4 (highest paid in role),50.2,0,11.0,2025-05-05,3,4,4,2,No,1
297,Ingrid,Moreau,Ingrid Moreau,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2019-01-28,2025-01-17,Terminated,1,5.97,5-10 yr,4,Female,30,Single,Bachelor,3,1539.0,Camila Dubois,2657,0.3849,2,Q2,-18.0,0,11.0,2025-01-05,3,1,4,3,Yes,1
299,Felix,Bakker,Felix Bakker,1,Sales,Go-To-Market,Sales Executive,2,Travel_Frequently,2018-12-15,2025-08-04,Terminated,1,6.64,5-10 yr,4,Female,30,Single,Master,26,1319.0,Sofia Castellanos,6696,0.5754,3,Q3,-3.3,0,15.0,2025-07-30,3,1,3,2,No,1
300,Rahul,Duarte,Rahul Duarte,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2019-09-12,2025-11-10,Terminated,1,6.16,5-10 yr,4,Male,29,Single,Bachelor,1,1539.0,Camila Dubois,2058,0.0653,1,Q1 (lowest paid in role),-36.5,0,14.0,2025-11-04,3,3,3,2,No,1
315,Nina,Kowalski,Nina Kowalski,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2021-05-21,2025-11-12,Terminated,1,4.48,3-5 yr,3,Male,29,Single,Below College,18,1539.0,Camila Dubois,2389,0.2509,2,Q2,-26.3,0,13.0,2025-11-05,3,4,3,2,Yes,1
325,Marcus,Osei,Marcus Osei,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2019-11-12,2025-08-19,Terminated,1,5.77,5-10 yr,4,Male,33,Married,Bachelor,14,901.0,Chloe Mbeki,2436,0.2907,2,Q2,-24.7,1,13.0,2025-08-13,3,4,3,1,Yes,0
328,Rahul,Grimaldi,Rahul Grimaldi,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2014-09-17,2024-01-31,Terminated,1,9.37,5-10 yr,4,Female,33,Married,College,2,901.0,Chloe Mbeki,2707,0.4264,2,Q2,-16.4,0,20.0,2024-01-15,4,1,1,4,No,1
331,Omar,Krishnan,Omar Krishnan,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2021-03-13,2024-05-23,Terminated,1,3.2,3-5 yr,3,Male,32,Single,Bachelor,1,1472.0,Divya Lindqvist,3730,0.7132,3,Q3,15.2,0,14.0,2024-05-04,3,3,4,1,Yes,1
342,Andre,Navarro,Andre Navarro,5,Operations,Technology,Operations Director,3,Travel_Frequently,2023-05-26,2025-04-02,Terminated,1,1.85,1-3 yr,2,Male,37,Divorced,Bachelor,10,1367.0,Isabel Duarte,10048,0.8056,4,Q4 (highest paid in role),37.7,2,11.0,2025-03-13,3,3,1,3,No,1
355,Claire,Petrov,Claire Petrov,2,Engineering,Technology,QA Engineer,1,Travel_Frequently,2019-05-11,2024-05-20,Terminated,1,5.03,5-10 yr,4,Male,31,Single,College,29,997.0,Leila Krishnan,3479,0.6434,3,Q3,7.5,0,11.0,2024-05-09,3,2,3,4,No,0
364,Aisha,Kaur,Aisha Kaur,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2023-10-24,2024-03-28,Terminated,1,0.43,0-1 yr,1,Male,28,Single,Master,2,575.0,Soren Bergman,3485,0.6473,3,Q3,7.7,0,11.0,2024-03-08,3,3,1,1,No,1
376,Divya,Nakamura,Divya Nakamura,4,Finance,Corporate Services,Finance Manager,3,Non-Travel,2013-11-08,2024-07-26,Terminated,1,10.71,10 yr+,5,Male,47,Married,Master,29,1578.0,Tariq Pashkov,11849,0.0297,1,Q1 (lowest paid in role),-31.0,1,12.0,2024-07-25,3,2,1,2,Yes,1
392,Isabel,Petrov,Isabel Petrov,2,Engineering,Technology,QA Engineer,1,Travel_Frequently,2023-05-24,2025-05-22,Terminated,1,2.0,1-3 yr,2,Male,44,Divorced,Bachelor,24,999.0,Jonas Mbeki,3161,0.5543,3,Q3,-2.4,1,22.0,2025-05-03,4,3,4,1,Yes,0
394,Ethan,Mbeki,Ethan Mbeki,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2020-07-26,2024-07-04,Terminated,1,3.94,3-5 yr,3,Male,26,Divorced,Master,16,661.0,Andre Nowak,2373,0.2364,1,Q1 (lowest paid in role),-26.7,1,13.0,2024-07-01,3,2,1,3,Yes,0
401,Daniel,Grimaldi,Daniel Grimaldi,1,Sales,Go-To-Market,Sales Executive,2,Travel_Rarely,2017-04-18,2025-10-21,Terminated,1,8.51,5-10 yr,4,Male,26,Single,Master,4,2055.0,Oscar Bakker,5828,0.4462,2,Q2,-15.8,0,12.0,2025-10-01,3,4,4,3,Yes,0
405,Rahul,Larsen,Rahul Larsen,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2024-11-25,2025-10-22,Terminated,1,0.91,0-1 yr,1,Male,18,Single,Bachelor,3,612.0,Soren Castellanos,1420,0.0194,1,Q1 (lowest paid in role),-56.1,0,13.0,2025-10-07,3,3,3,3,No,1
433,Ethan,Cardoso,Ethan Cardoso,2,Engineering,Technology,Software Engineer,2,Travel_Rarely,2015-02-15,2024-01-17,Terminated,1,8.92,5-10 yr,4,Male,52,Married,Master,8,638.0,Kwame Cardoso,4941,0.9003,4,Q4 (highest paid in role),52.5,0,15.0,2024-01-05,3,2,3,2,No,0
440,Marcus,Delacroix,Marcus Delacroix,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2020-09-24,2024-07-10,Terminated,1,3.79,3-5 yr,3,Male,28,Married,Master,2,575.0,Soren Bergman,3464,0.6804,3,Q3,6.9,0,13.0,2024-07-07,3,4,1,2,Yes,1
445,Jonas,Mehta,Jonas Mehta,1,Sales,Go-To-Market,Sales Executive,2,Travel_Rarely,2024-02-25,2025-12-10,Terminated,1,1.79,1-3 yr,2,Female,39,Married,College,3,2056.0,Grace Krishnan,5238,0.2892,2,Q2,-24.4,0,18.0,2025-11-24,3,3,4,2,Yes,0
454,Ingrid,Bergman,Ingrid Bergman,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2017-12-07,2025-07-11,Terminated,1,7.59,5-10 yr,4,Male,29,Married,Master,8,1539.0,Camila Dubois,2119,0.1085,1,Q1 (lowest paid in role),-34.5,0,11.0,2025-07-05,3,1,2,2,Yes,1
478,Nadia,Hassan,Nadia Hassan,1,Sales,Go-To-Market,Sales Representative,1,Travel_Frequently,2021-08-05,2024-10-04,Terminated,1,3.16,3-5 yr,3,Female,21,Single,Below College,1,1869.0,Aisha Silva,2174,0.2195,1,Q1 (lowest paid in role),-17.2,0,11.0,2024-09-19,3,2,1,3,Yes,0
485,Aisha,Kaur,Aisha Kaur,1,Sales,Go-To-Market,Sales Representative,1,Travel_Rarely,2022-05-31,2024-03-21,Terminated,1,1.81,1-3 yr,2,Female,33,Single,Bachelor,5,580.0,Yuki Nowak,2851,0.7195,3,Q3,8.6,0,13.0,2024-03-19,3,3,4,3,Yes,1
488,Daniel,Sharma,Daniel Sharma,1,Sales,Go-To-Market,Sales Executive,2,Travel_Frequently,2015-05-11,2024-02-27,Terminated,1,8.8,5-10 yr,4,Male,41,Single,Bachelor,4,2056.0,Grace Krishnan,9355,0.8154,4,Q4 (highest paid in role),35.1,0,18.0,2024-02-14,3,2,1,3,No,1
492,Priya,Moreau,Priya Moreau,1,Sales,Go-To-Market,Sales Executive,2,Travel_Rarely,2018-12-23,2025-11-11,Terminated,1,6.89,5-10 yr,4,Male,40,Married,College,22,2056.0,Grace Krishnan,6380,0.5231,3,Q3,-7.9,2,12.0,2025-10-23,3,3,3,3,Yes,1
494,Sanne,Petrov,Sanne Petrov,1,Sales,Go-To-Market,Sales Representative,1,Travel_Rarely,2023-10-29,2025-09-09,Terminated,1,1.86,1-3 yr,2,Female,21,Single,Bachelor,12,302.0,Diego Ramos,2716,0.5976,3,Q3,3.4,0,15.0,2025-08-21,3,2,3,3,No,1
502,Kwame,Duarte,Kwame Duarte,1,Sales,Go-To-Market,Sales Executive,2,Non-Travel,2019-06-16,2024-07-20,Terminated,1,5.1,5-10 yr,4,Male,34,Single,Bachelor,19,862.0,Hugo Grimaldi,5304,0.3046,2,Q2,-23.4,0,13.0,2024-07-11,3,4,1,2,Yes,0
510,Samir,Vandenberg,Samir Vandenberg,2,Engineering,Technology,Software Engineer,1,Travel_Frequently,2019-04-11,2025-11-01,Terminated,1,6.56,5-10 yr,4,Male,26,Single,Below College,3,661.0,Andre Nowak,3102,0.5945,3,Q3,-4.3,0,22.0,2025-10-19,4,1,3,3,No,1
514,Ingrid,Sharma,Ingrid Sharma,2,Engineering,Technology,Software Engineer,1,Travel_Frequently,2023-09-11,2025-04-22,Terminated,1,1.61,1-3 yr,2,Male,30,Single,Bachelor,4,1539.0,Camila Dubois,2285,0.1718,1,Q1 (lowest paid in role),-29.5,0,23.0,2025-04-12,4,4,3,3,Yes,1
538,Zara,Ramos,Zara Ramos,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2023-02-15,2025-05-12,Terminated,1,2.24,1-3 yr,2,Male,25,Married,Bachelor,3,1666.0,Soren Marchetti,4031,0.8101,4,Q4 (highest paid in role),24.5,1,13.0,2025-05-08,3,1,1,3,No,1
554,Omar,Delacroix,Omar Delacroix,1,Sales,Go-To-Market,Sales Representative,1,Travel_Rarely,2019-06-18,2024-07-16,Terminated,1,5.08,5-10 yr,4,Female,24,Single,Below College,1,1869.0,Aisha Silva,3202,0.8659,4,Q4 (highest paid in role),21.9,0,16.0,2024-06-30,3,2,1,3,Yes,0
555,Ethan,Silva,Ethan Silva,1,Sales,Go-To-Market,Sales Representative,1,Travel_Frequently,2022-01-25,2024-06-07,Terminated,1,2.37,1-3 yr,2,Female,34,Divorced,College,6,580.0,Yuki Nowak,2351,0.3902,2,Q2,-10.5,1,16.0,2024-05-26,3,3,4,2,No,1
565,Chloe,Kowalski,Chloe Kowalski,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2021-12-24,2024-10-14,Terminated,1,2.81,1-3 yr,2,Female,29,Married,Doctor,25,1655.0,Hannah Duarte,2546,0.3299,2,Q2,-21.4,0,16.0,2024-10-03,3,2,3,4,No,0
566,Yuki,Novak,Yuki Novak,3,HR,Corporate Services,HR Generalist,1,Travel_Rarely,2023-07-25,2025-07-15,Terminated,1,1.97,1-3 yr,2,Male,19,Single,College,2,590.0,Rosa Fitzgerald,2564,0.2745,2,Q2,-39.5,0,12.0,2025-07-07,3,4,1,4,No,1
582,Amara,Rossi,Amara Rossi,4,Finance,Corporate Services,Finance Manager,3,Travel_Rarely,2016-12-09,2024-05-25,Terminated,1,7.46,5-10 yr,4,Male,33,Married,Below College,15,1973.0,Yuki Kaur,13610,0.1089,1,Q1 (lowest paid in role),-20.8,0,12.0,2024-05-05,3,3,2,4,Yes,1
584,Aisha,Dubois,Aisha Dubois,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2019-12-05,2024-08-25,Terminated,1,4.72,3-5 yr,3,Male,33,Divorced,Below College,10,901.0,Chloe Mbeki,3408,0.6202,3,Q3,5.3,3,13.0,2024-08-09,3,4,1,3,No,0
587,Kwame,Hassan,Kwame Hassan,6,Customer Support,Go-To-Market,Support Representative,3,Travel_Frequently,2022-09-19,2024-08-15,Terminated,1,1.91,1-3 yr,2,Male,31,Married,Bachelor,20,431.0,Leila Halvorsen,9824,0.7538,3,Q3,30.5,0,12.0,2024-08-01,3,3,1,3,No,0
590,Rosa,Fitzgerald,Rosa Fitzgerald,3,HR,Corporate Services,HR Generalist,3,Travel_Frequently,2021-06-08,2024-12-27,Terminated,1,3.55,3-5 yr,3,Female,34,Divorced,Bachelor,23,698.0,Anika Vandenberg,9950,0.9608,4,Q4 (highest paid in role),134.9,3,15.0,2024-12-12,3,1,2,3,Yes,1
593,Zara,Bianchi,Zara Bianchi,2,Engineering,Technology,QA Engineer,1,Travel_Frequently,2021-07-18,2024-07-14,Terminated,1,2.99,1-3 yr,2,Male,22,Single,Below College,4,468.0,Mei Mehta,3894,0.7519,3,Q3,20.3,0,16.0,2024-07-06,3,3,3,3,No,1
608,Rahul,Rossi,Rahul Rossi,3,HR,Corporate Services,HR Generalist,1,Travel_Frequently,2017-06-14,2025-01-17,Terminated,1,7.59,5-10 yr,4,Female,26,Divorced,Master,17,590.0,Rosa Fitzgerald,2741,0.3529,2,Q2,-35.3,1,11.0,2025-01-12,3,3,2,2,Yes,1
614,Aisha,Delacroix,Aisha Delacroix,1,Sales,Go-To-Market,Sales Representative,1,Travel_Frequently,2025-09-06,2025-11-16,Terminated,1,0.19,0-1 yr,1,Male,18,Single,Bachelor,5,302.0,Diego Ramos,1878,0.1098,1,Q1 (lowest paid in role),-28.5,0,14.0,2025-11-03,3,2,2,3,Yes,0
622,Aarav,Krishnan,Aarav Krishnan,2,Engineering,Technology,QA Engineer,1,Travel_Rarely,2023-05-05,2024-07-14,Terminated,1,1.19,1-3 yr,2,Male,26,Single,Bachelor,24,661.0,Andre Nowak,2340,0.2132,1,Q1 (lowest paid in role),-27.7,0,18.0,2024-06-28,3,4,3,1,Yes,1
631,Hugo,Kowalski,Hugo Kowalski,1,Sales,Go-To-Market,Sales Executive,2,Non-Travel,2020-08-19,2025-04-29,Terminated,1,4.69,3-5 yr,3,Male,32,Married,Master,11,1050.0,Tobias Haddad,4707,0.1723,1,Q1 (lowest paid in role),-32.0,0,12.0,2025-04-15,3,3,4,3,No,0
647,Camila,Duarte,Camila Duarte,2,Engineering,Technology,QA Engineer,1,Travel_Frequently,2018-06-28,2025-04-04,Terminated,1,6.77,5-10 yr,4,Female,24,Married,Bachelor,7,1666.0,Soren Marchetti,2886,0.5,2,Q2,-10.8,1,16.0,2025-03-19,3,3,1,3,Yes,1
648,Yuki,Fitzgerald,Yuki Fitzgerald,1,Sales,Go-To-Market,Sales Representative,1,Travel_Frequently,2022-06-13,2024-04-17,Terminated,1,1.85,1-3 yr,2,Male,30,Married,Master,12,1732.0,Claire Mehta,2033,0.1341,1,Q1 (lowest paid in role),-22.6,1,18.0,2024-04-05,3,1,2,4,No,1
650,Samir,Mehta,Samir Mehta,1,Sales,Go-To-Market,Sales Executive,2,Travel_Rarely,2021-03-30,2025-01-16,Terminated,1,3.8,3-5 yr,3,Male,31,Divorced,Master,13,1319.0,Sofia Castellanos,4233,0.0523,1,Q1 (lowest paid in role),-38.9,0,17.0,2025-01-07,3,1,2,1,No,1
667,Tariq,Varga,Tariq Varga,1,Sales,Go-To-Market,Sales Representative,1,Travel_Rarely,2020-06-20,2024-06-24,Terminated,1,4.01,3-5 yr,3,Male,27,Divorced,Below College,2,1732.0,Claire Mehta,3041,0.8293,4,Q4 (highest paid in role),15.8,1,11.0,2024-06-21,3,1,3,3,No,1
684,Nadia,Jokinen,Nadia Jokinen,1,Sales,Go-To-Market,Sales Executive,2,Travel_Frequently,2023-12-07,2024-12-20,Terminated,1,1.04,1-3 yr,2,Female,45,Married,Master,26,1975.0,Grace Kaur,4286,0.0615,1,Q1 (lowest paid in role),-38.1,2,14.0,2024-12-12,3,1,1,3,No,1
701,Tobias,Lombardi,Tobias Lombardi,2,Engineering,Technology,Software Engineer,1,Travel_Rarely,2023-03-14,2025-02-06,Terminated,1,1.9,1-3 yr,2,Male,20,Single,Below College,10,612.0,Soren Castellanos,1009,0.0,1,Q1 (lowest paid in role),-68.9,0,11.0,2025-01-24,3,3,4,3,Yes,1
702,Priya,Osei,Priya Osei,2,Engineering,Technology,Software Engineer,1,Travel_Frequently,2015-10-07,2025-12-24,Terminated,1,10.21,10 yr+,5,Male,33,Single,Bachelor,3,901.0,Chloe Mbeki,3348,0.6392,3,Q3,3.3,0,11.0,2025-12-05,3,1,1,3,Yes,1
720,Marcus,Silva,Marcus Silva,1,Sales,Go-To-Market,Sales Executive,2,Travel_Rarely,2022-05-28,2025-03-06,Terminated,1,2.77,1-3 yr,2,Female,24,Single,College,3,118.0,Anika Bergman,4577,0.1292,1,Q1 (lowest paid in role),-33.9,0,14.0,2025-02-25,3,3,1,3,No,1
723,Mira,Pashkov,Mira Pashkov,1,Sales,Go-To-Market,Sales Executive,2,Travel_Frequently,2021-01-18,2025-05-29,Terminated,1,4.36,3-5 yr,3,Male,50,Married,College,8,986.0,Marcus Silva,6796,0.5877,3,Q3,-1.9,1,14.0,2025-05-15,3,3,2,3,Yes,1
